team_id,tournament_name,final_position,tournament_grade,tournament_year,notable_wins,lost_to
1,DAIHATSU Indonesia Masters 2025,R16,500,2025,,Kittinupong Kedren & Dechapol Puavaranukroh (13)
1,KAPAL API Indonesia Open 2025,QF,1000,2025,"Rasmus KJÆR & Frederik SØGAARD (15), Leo Rolly CARNANDO & Bagas MAULANA (9)",Wei Chong MAN & Kai Wun TEE (7)
1,KFF Singapore Badminton Open 2025,SF,750,2025,"Sze Fei GOH & Nur IZZUDDIN (1), Sabar Karyaman GUTAMA & Moh Reza Pahlevi ISFAHANI (8)",Aaron CHIA & Wooi Yik SOH (2)
1,PETRONAS Malaysia Open 2025,SF,1000,2025,,Won Ho Kim & Seung Jae Seo (4)
1,YONEX All England Open Badminton Championships 2025,R16,1000,2025,,Hao Nan XIE & Wei Han ZENG (27)
1,YONEX-SUNRISE India Open 2025,SF,750,2025,Wei Chong Man & Kai Wun Tee (7),Sze Fei Goh & Nur Izzuddin (1)
2,BANK OF NINGBO Badminton Asia Championships 2025,R16,G1_CC,2025,,Aaron Chia & Wooi Yik Soh (2)
2,Orleans Masters Badminton 2025 presented by VICTOR,R32,300,2025,,Junaidi ARIF & Roy King YAP (24)
2,PERODUA Malaysia Masters 2025,R32,500,2025,,Zhi  Ray CHEN & Yu Chieh LIN (44)
2,PRINCESS SIRIVANNAVARI Thailand Masters 2025,R16,300,2025,,Min Hyuk KANG & Won Ho KIM
2,YONEX German Open 2025,R32,300,2025,,Ching Heng Su & Guan Xun Wu
61,KAPAL API Indonesia Open 2025,R16,1000,2025,,Yuki FUKUSHIMA & Mayu MATSUMOTO (8)
61,KFF Singapore Badminton Open 2025,R16,750,2025,,Yi Fan JIA & Shu Xian ZHANG (9)
61,PETRONAS Malaysia Open 2025,R16,1000,2025,,Yi Fan Jia & Shu Xian Zhang (9)
61,TOYOTA Thailand Open 2025,R16,500,2025,,Rui HIROKAMI & Sayaka HOBARA
61,YONEX All England Open Badminton Championships 2025,QF,1000,2025,Hye Jeong KIM & Hee Yong KONG (7),Sheng Shu LIU & Ning TAN (1)
61,YONEX Swiss Open 2025,SF,300,2025,,Sheng Shu LIU & Ning TAN (1)
61,YONEX-SUNRISE India Open 2025,R32,750,2025,,Arisa Igarashi & Ayako Sakuramoto (51)
116,BANK OF NINGBO Badminton Asia Championships 2025,QF,G1_CC,2025,"Hong Wei Ye & Nicole Gonzales Chan (16), Pang Ron Hoo & Su Yin Cheng (13)",Chun Man Tang & Ying Suet Tse (3)
116,DAIHATSU Indonesia Masters 2025,R16,500,2025,,Pang Ron Hoo & Su Yin Cheng (13)
116,KAPAL API Indonesia Open 2025,R32,1000,2025,,Tang Jie CHEN & Ee Wei TOH (4)
116,KFF Singapore Badminton Open 2025,R32,750,2025,,Xing CHENG & Chi ZHANG (11)
116,Orleans Masters Badminton 2025 presented by VICTOR,R32,300,2025,,Jong Min LEE & Yu Jung CHAE (74)
116,PERODUA Malaysia Masters 2025,QF,500,2025,,Zhen Bang JIANG & Ya Xin WEI (2)
116,PETRONAS Malaysia Open 2025,R16,1000,2025,,Xing Cheng & Chi Zhang (11)
116,TSINGTAO Badminton Asia Mixed Team Championship 2025,QF,G1_CC,2025,,Hiroki MIDORIKAWA & Natsu SAITO (9)
116,YONEX All England Open Badminton Championships 2025,R32,1000,2025,,Ruttanapak OUPTHONG & Jhenicha SUDJAIPRAPARAT (18)
116,YONEX German Open 2025,SF,300,2025,,Rehan Naufal Kusharjanto & Gloria Emanuelle Widjaja (19)
116,YONEX-SUNRISE India Open 2025,R16,750,2025,,Hiroki Midorikawa & Natsu Saito (9)
